Event id,Event name,Taxon,Type,Level-Placed
3528,L_Cotalagnostus lens claudicans,Cotalagnostus lens claudicans,1,3518.8399
2802,F_Tetragraptus decipiens,Tetragraptus decipiens,0,3528.2015
2616,F_Scolopodus asperus,Scolopodus asperus,0,3529.8558
1186,F_Haplograptus huanghuaensis,Haplograptus huanghuaensis,0,3533.0356
2025,F_Paradelograptus antiquus,Paradelograptus antiquus,0,3533.0356
5852,L_Triplagnostus lundgreni,Triplagnostus lundgreni,1,3533.0356
1281,F_Huzhuia paratypica,Huzhuia paratypica,0,3533.5338
2845,F_Trachysphaeridium lunatum,Trachysphaeridium lunatum,0,3533.5338
4380,L_Kunmingaspis divergens,Kunmingaspis divergens,1,3533.5338
5879,L_Tungtzuella recta,Tungtzuella recta,1,3533.5338
4277,L_Hypagnostus quadratus,Hypagnostus quadratus,1,3535.307
5862,L_Tritoechia mucronata,Tritoechia mucronata,1,3535.307
5868,L_Tritoechia turritella,Tritoechia turritella,1,3535.307
20,F_Acodus housensis,Acodus housensis,0,3536.0696
3922,L_Eoinouyia dayakouensis,Eoinouyia dayakouensis,1,3536.0696
4359,L_Kootenia baishagonensis,Kootenia baishagonensis,1,3536.9177
5626,L_Serratognathus obliquidens,Serratognathus obliquidens,1,3536.9177
720,F_Dictyonema asiaticum,Dictyonema asiaticum,0,3536.9203
3006,L_Acodus housensis,Acodus housensis,1,3536.9203
4589,L_Mengzia mengziensis,Mengzia mengziensis,1,3540.9351
1187,F_Haplograptus yichangensis,Haplograptus yichangensis,0,3541.8822
1522,F_Lisania paibiensis,Lisania paibiensis,0,3541.8822
5464,L_Psilocephalina lata,Psilocephalina lata,1,3541.8822
2205,F_Pianaspis attenuata,Pianaspis attenuata,0,3542.1592
394,F_Clavagnostus repandus,Clavagnostus repandus,0,3542.6857
2000,F_Parablackwelderia laterilobata,Parablackwelderia laterilobata,0,3542.6857
1067,F_Glaberagnostus bituberculatus,Glaberagnostus bituberculatus,0,3544.2684
232,F_Baltisphaeridium arenigum,Baltisphaeridium arenigum,0,3544.2748
237,F_Baltisphaeridium curvativum,Baltisphaeridium curvativum,0,3544.2748
1435,F_Leiopsophosphaera minor,Leiopsophosphaera minor,0,3544.2748
3867,L_Dorypyge bisulcata,Dorypyge bisulcata,1,3544.2748
81,F_Ammagnostus wangcunensis,Ammagnostus wangcunensis,0,3548.6253
466,F_Clonograptus flexilis,Clonograptus flexilis,0,3553.8451
1368,F_Kiaerograptus kiaeri yichangensis,Kiaerograptus kiaeri yichangensis,0,3553.8451
2638,F_Serratognathus bilobatus,Serratognathus bilobatus,0,3553.8451
2124,F_Paroistodus proteus,Paroistodus proteus,0,3558.2533
1434,F_Leiopsophosphaera indefinitum,Leiopsophosphaera indefinitum,0,3558.2833
3452,L_Clonograptus flexilis,Clonograptus flexilis,1,3558.2833
1999,F_Parablackwelderia jimaensis,Parablackwelderia jimaensis,0,3558.948
44,F_Adelograptus sinicus,Adelograptus sinicus,0,3559.005
1572,F_Macroptycha biplicata,Macroptycha biplicata,0,3559.005
1656,F_Micrhystridium hexagonum,Micrhystridium hexagonum,0,3559.005
2844,F_Trachysphaeridium hyalinum,Trachysphaeridium hyalinum,0,3559.005
3254,L_Baojingia latilimbata,Baojingia latilimbata,1,3559.005
5049,L_Paranomocarella fortis,Paranomocarella fortis,1,3559.005
5877,L_Tungtzuella elongata,Tungtzuella elongata,1,3560.3806
2003,F_Paracanthograptus sanxiaensis,Paracanthograptus sanxiaensis,0,3561.4698
2849,F_Trachysphaeridium rugosum,Trachysphaeridium rugosum,0,3561.4698
3030,L_Adelograptus sinicus,Adelograptus sinicus,1,3561.4698
1573,F_Macroptycha uniplicata,Macroptycha uniplicata,0,3566.194
2997,L_Acanthograptus rigidus,Acanthograptus rigidus,1,3566.194
2846,F_Trachysphaeridium minutum,Trachysphaeridium minutum,0,3566.4691
190,F_Asaphopsis changyangensis,Asaphopsis changyangensis,0,3566.7321
3223,L_Baltisphaeridium curvativum,Baltisphaeridium curvativum,1,3566.7321
4354,L_Kiaerograptus kiaeri yichangensis,Kiaerograptus kiaeri yichangensis,1,3566.7321
4642,L_Micrhystridium hexagonum,Micrhystridium hexagonum,1,3566.7321
2615,F_Schmalenseeia sinensis,Schmalenseeia sinensis,0,3566.9347
269,F_Baojingia paralala,Baojingia paralala,0,3568.0339
1502,F_Linguagnostus spinosus,Linguagnostus spinosus,0,3568.8004
4172,L_Haplograptus huanghuaensis,Haplograptus huanghuaensis,1,3568.8004
5475,L_Ptychagnostus aculeatus,Ptychagnostus aculeatus,1,3573.4948
